client_code,region,delegation,routing_code,home_commercial,jour_semaine,day_of_month,week_of_month,days_to_month_end,is_month_start,is_month_end,potentiel,nbr_visites_hist,nbr_visites_jour,days_since_last_order,vente_last,qte_last,docs_last,line_items_last,product_refs_last,vente_avg_3,qte_avg_3,docs_avg_3,line_items_avg_3,product_refs_avg_3,ca_last_7d,ca_last_30d,ca_last_60d,ca_last_90d,qte_last_7d,qte_last_30d,qte_last_60d,qte_last_90d,docs_last_30d,docs_last_90d,line_items_last_30d,line_items_last_90d,product_refs_last_30d,product_refs_last_90d,orders_last_7d,orders_last_30d,orders_last_60d,orders_last_90d,avg_ca_per_order_90d,avg_qte_per_order_90d,avg_docs_per_order_90d,avg_line_items_per_order_90d,avg_product_refs_per_order_90d,weekday_purchase_rate,days_since_last_same_weekday_order,days_between_last_orders,avg_days_between_orders_5,order_gap_ratio,recent_ca_trend,recent_qte_trend,avg_price_hist,month,date
06057,SE,Inconnue,Inconnue,1300,4,9,2,22,0,0,1.0,5.0,1,195.0,28.935,12.0,1.0,1.0,1.0,23.935666666666663,2.3333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.2,999.0,230.0,33.333333333333336,5.85,0.0,0.0,15.300476190476191,7,2026-07-09
01291,SE,LASOUKRA,2,2,4,9,2,22,0,0,0.0,1.0,0,242.0,16.993,6.0,1.0,1.0,1.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,2.8321666666666663,7,2026-07-09
00196,GT,BOUMHELELBASSATINE,1,1,4,9,2,22,0,0,0.0,9.0,2,21.0,72.634,1.0,1.0,1.0,1.0,28.639000000000006,20.0,1.0,1.0,1.0,0.0,72.634,72.634,72.634,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,72.634,1.0,1.0,1.0,1.0,0.2222222222222222,999.0,147.0,63.4,0.3312302839116719,1.0,1.0,3.1901176470588233,7,2026-07-09
00860,GT,ELMOUROUJ,1,1,4,9,2,22,0,0,0.0,21.0,0,6.0,151.839,2.0,1.0,2.0,2.0,195.6676666666667,3.3333333333333335,1.3333333333333333,3.3333333333333335,3.3333333333333335,151.839,151.839,151.839,563.973,2.0,2.0,2.0,10.0,1.0,4.0,2.0,10.0,2.0,10.0,1.0,1.0,1.0,3.0,187.99099999999999,3.3333333333333335,1.3333333333333333,3.3333333333333335,3.3333333333333335,0.0,999.0,56.0,19.6,0.3061224489795918,0.269230973823215,0.2,9.064351758793968,7,2026-07-09
00173,SE,ARIANAVILLE,1,1,4,9,2,22,0,0,0.0,2.0,0,325.0,87.445,1.0,1.0,1.0,1.0,141.135,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,153.0,30.0,1.0,0.0,0.0,76.19333333333333,7,2026-07-09
00944,SE,ARIANAVILLE,1,1,4,9,2,22,0,0,0.0,2.0,0,195.0,16.022,60.0,1.0,1.0,1.0,34.87,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,91.0,30.0,1.0,0.0,0.0,0.834295081967213,7,2026-07-09
04212,,LAMARSA,2,2,4,9,2,22,0,0,0.0,7.0,1,76.0,59.299,1.0,1.0,1.0,1.0,71.60333333333334,2.0,1.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,59.299,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.299,1.0,1.0,1.0,1.0,0.14285714285714285,477.0,70.0,66.2,1.148036253776435,0.0,0.0,20.72056,7,2026-07-09
00204,GT,BABBHAR,1,1,4,9,2,22,0,0,0.0,22.0,1,23.0,28.054,1.0,1.0,1.0,1.0,62.062666666666644,24.333333333333332,1.0,1.3333333333333333,1.3333333333333333,0.0,28.054000000000055,66.207,137.935,0.0,1.0,25.0,26.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,3.0,45.97833333333333,8.666666666666666,1.0,1.0,1.0,0.045454545454545456,197.0,25.0,25.2,0.9126984126984127,0.20338565266248634,0.038461538461538464,5.0338243559718965,7,2026-07-09
06756,GT,FOUCHANA,18,VL1900,4,9,2,22,0,0,1.0,7.0,0,339.0,19.906,1.0,1.0,1.0,1.0,19.753333333333334,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,414.0,16.0,12.2,27.78688524590164,0.0,0.0,4.416709677419355,7,2026-07-09
00154,GT,Ariana_Ville,1,1,4,9,2,22,0,0,0.0,74.0,2,3.0,25.092,24.0,1.0,1.0,1.0,53.38000000000006,2.3333333333333335,1.0,2.0,2.0,25.092,67.67200000000022,392.174,463.90199999999993,24.0,26.0,129.0,130.0,3.0,7.0,3.0,12.0,3.0,12.0,1.0,3.0,6.0,7.0,66.27171428571428,18.571428571428573,1.0,1.7142857142857142,1.7142857142857142,0.02702702702702703,379.0,14.0,10.4,0.28846153846153844,0.14587563752689195,0.2,5.182490412979352,7,2026-07-09
